	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Sweden	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	7	7	12	14	15	21	35	94	101	161	203	247	354	498
Switzerland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	8	18	27	42	54	87	110	210	264	332	369	485	644
Taiwan*	1	1	3	3	4	5	8	8	9	10	10	10	10	11	11	15	15	16	17	17	17	17	17	16	16	17	19	19	20	21	23	23	25	24	25	26	26	27	29	30	28	29	29	31	32	32	31	29	29	30
Thailand	2	3	5	7	6	6	9	9	9	14	14	14	14	20	20	20	20	22	22	22	23	23	21	21	21	20	20	20	20	20	18	18	14	14	15	18	18	13	14	13	11	11	11	15	16	18	18	18	19	24
Togo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Tunisia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	5	7
Turkey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
US	1	1	2	2	5	5	5	5	5	7	8	8	11	11	11	11	11	11	8	8	9	9	10	10	10	10	10	10	10	10	10	10	10	46	45	51	52	53	60	66	85	104	131	198	241	378	490	554	1594	2297
Ukraine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
United Arab Emirates	0	0	0	0	0	0	0	4	4	4	4	5	5	5	5	5	5	7	7	8	8	7	7	7	5	5	5	5	5	5	5	9	9	9	9	9	9	14	16	16	16	22	22	24	24	38	38	38	62	57
United Kingdom	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	3	3	3	8	8	8	8	8	8	1	1	1	1	1	1	1	1	5	5	5	7	12	15	28	32	43	78	107	154	187	253	300	359	432
Vietnam	0	2	2	2	2	2	2	2	2	2	5	5	7	7	7	9	9	12	12	13	9	9	9	9	9	9	9	9	9	9	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	14	14	15	22
